ID,NUM_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_CALLE,Calle,Cruce,Direccion,COMUNA,Pos_X,Pos_Y,VICTIMA,ACUSADO,Dia_Sem,Barrios,Rol,Sexo,Edad,Fecha_Fallec,Rango_Etario
2016-0001,1,2016-01-01,2016,1,1,4,AVENIDA,PIEDRA BUENA AV.,CRUCE,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,-58.47533969,-34.68757022,MOTO,AUTO,Vie,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,19,2016-01-01,Menos de 20
2016-0002,1,2016-01-02,2016,1,2,1,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,-58.50877521,-34.66977709,AUTO,PASAJEROS,Sáb,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,MASCULINO,70,2016-01-02,Entre 61-80
2016-0003,1,2016-01-03,2016,1,3,7,AVENIDA,ENTRE RIOS AV.,NO es cruce,ENTRE RIOS AV. 2034,Comuna 1,-58.39040293,-34.63189362,MOTO,AUTO,Dom,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,30,2016-01-03, Entre 21- 40
2016-0004,1,2016-01-10,2016,1,10,0,AVENIDA,LARRAZABAL AV.,CRUCE,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",Comuna 8,-58.46503904,-34.68092974,MOTO,SD,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,18,,Menos de 20
2016-0005,1,2016-01-21,2016,1,21,5,AVENIDA,SAN JUAN AV.,CRUCE,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",Comuna 1,-58.38718297,-34.6224663,MOTO,PASAJEROS,Jue,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,29,2016-02-01, Entre 21- 40
2016-0008,1,2016-01-24,2016,1,24,18,AVENIDA,27 DE FEBRERO AV.,CRUCE,27 DE FEBRERO AV. y ESCALADA AV.,Comuna 8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,30,2016-01-24, Entre 21- 40
2016-0009,1,2016-01-24,2016,1,24,19,CALLE,NOGOYA,CRUCE,"NOGOYA y GONZALEZ, JOAQUIN V.",Comuna 11,-58.50095869,-34.6082544,MOTO,AUTO,Dom,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26, Entre 21- 40
2016-0010,1,2016-01-29,2016,1,29,15,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,-58.50877521,-34.66977709,MOTO,AUTO,Vie,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,MASCULINO,18,2016-01-29,Menos de 20
2016-0012,1,2016-02-08,2016,2,8,1,AVENIDA,BELGRANO AV.,CRUCE,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",Comuna 1,-58.38048577,-34.61303893,MOTO,CARGAS,Lun,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,22,2016-02-08, Entre 21- 40
2016-0013,1,2016-02-10,2016,2,10,11,AVENIDA,ENTRE RIOS AV.,NO es cruce,ENTRE RIOS AV. 1366,Comuna 1,-58.39114932,-34.62477387,PEATON,AUTO,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,16,2016-02-10,Menos de 20
2016-0015,1,2016-02-14,2016,2,14,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",CRUCE,"SCALABRINI ORTIZ, RAUL AV. y VERA",Comuna 15,-58.4376002,-34.59912758,PEATON,AUTO,Dom,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",PEATON,FEMENINO,16,2016-02-14,Menos de 20
2016-0016,1,2016-02-14,2016,2,14,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,CRUCE,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",Comuna 4,-58.36882665,-34.64291993,MOTO,AUTO,Dom,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14,Menos de 20
2016-0017,1,2016-02-15,2016,2,15,16,AVENIDA,"ACOSTA, MARIANO AV.",CRUCE,"ACOSTA, MARIANO y JANER, ANA MARIA",Comuna 8,-58.44989671,-34.65970435,PEATON,MOTO,Lun,"Villa Soldati, Villa Riachuelo y Villa Lugano",PEATON,MASCULINO,59,2016-02-16,Entre 41-60
2016-0019,1,2016-02-17,2016,2,17,9,CALLE,"DE LA TORRE, LISANDRO",CRUCE,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",Comuna 9,-58.50990884,-34.65468721,PEATON,PASAJEROS,Mié,"Liniers, Mataderos y Parque Avellaneda",PEATON,FEMENINO,65,2016-02-17,Entre 61-80
2016-0020,1,2016-02-17,2016,2,17,16,CALLE,SUIPACHA,NO es cruce,SUIPACHA 156,Comuna 1,-58.37952223,-34.60653282,PEATON,AUTO,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,59,2016-03-02,Entre 41-60
2016-0021,1,2016-02-17,2016,2,17,23,AVENIDA,DIRECTORIO AV.,CRUCE,DIRECTORIO AV. y CURAPALIGUE,Comuna 7,-58.45157703,-34.63063795,AUTO,AUTO,Mié,Flores y Parque Chacabuco,CONDUCTOR,MASCULINO,34,2016-02-17, Entre 21- 40
2016-0022,1,2016-02-21,2016,2,21,6,AVENIDA,9 DE JULIO AV.,CRUCE,"9 DE JULIO AV. y ALSINA, ADOLFO",Comuna 1,-58.38144696,-34.61079875,MOTO,AUTO,Dom,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PASAJERO_ACOMPAÑANTE,MASCULINO,41,,Entre 41-60
2016-0025,1,2016-02-28,2016,2,28,4,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",Comuna 8,-58.46244952,-34.70524971,AUTO,AUTO,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28, Entre 21- 40
2016-0026,1,2016-02-28,2016,2,28,7,CALLE,HOLMBERG,CRUCE,HOLMBERG y VEDIA,Comuna 12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,Dom,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",CONDUCTOR,MASCULINO,30,2016-03-04, Entre 21- 40
2016-0027,1,2016-02-28,2016,2,28,9,AVENIDA,CURAPALIGUE AV.,CRUCE,"CURAPALIGUE AV. y DIAZ, AVELINO",Comuna 7,-58.44497874,-34.63852623,AUTO,AUTO,Dom,Flores y Parque Chacabuco,PASAJERO_ACOMPAÑANTE,MASCULINO,34,, Entre 21- 40
2016-0028,1,2016-03-02,2016,3,2,10,AVENIDA,VIAMONTE,CRUCE,VIAMONTE y 9 DE JULIO AV.,Comuna 1,-58.38199706,-34.60028648,PEATON,CARGAS,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,50,2016-03-02,Entre 41-60
2016-0029,1,2016-03-04,2016,3,4,17,AVENIDA,CABILDO AV.,CRUCE,CABILDO AV. y DEHEZA,Comuna 12,-58.47378664,-34.54153077,PEATON,PASAJEROS,Vie,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",PEATON,MASCULINO,38,2016-03-04, Entre 21- 40
2016-0031,1,2016-03-08,2016,3,8,12,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",Comuna 8,-58.47064556,-34.69843756,MOTO,PASAJEROS,Mar,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,21,, Entre 21- 40
2016-0034,1,2016-03-12,2016,3,12,12,AVENIDA,"ALCORTA, AMANCIO AV.",CRUCE,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Comuna 4,-58.40623949,-34.65076549,PEATON,PASAJEROS,Sáb,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PEATON,MASCULINO,52,2016-03-12,Entre 41-60
